"id","name"
"85","(Afan) Oromo"
"2","Abkhazian"
"1","Afar"
"3","Afrikaans"
"107","Albanian; Shqip"
"4","Amharic"
"5","Arabic"
"45","Armenian; Hayeren"
"6","Assamese"
"7","Aymara"
"8","Azerbaijani"
"9","Bashkir"
"29","Basque; Euskera"
"14","Bengali; Bangla"
"23","Bhutani"
"12","Bihari"
"13","Bislama"
"16","Breton"
"11","Bulgarian"
"79","Burmese; Myanmasa"
"10","Byelorussian"
"59","Cambodian; Khmer"
"17","Catalan"
"135","Chinese; Zhongwen"
"18","Corsican"
"43","Croatian; Hrvatski"
"19","Czech"
"21","Danish"
"82","Dutch; Nederlands"
"25","English"
"26","Esperanto"
"28","Estonian"
"33","Faroese"
"32","Fiji"
"31","Finnish; Suomi"
"34","French"
"35","Frisian"
"38","Galician"
"56","Georgian; Kartuli"
"22","German"
"24","Greek"
"58","Greenlandic; Kalaallisut"
"39","Guarani"
"40","Gujarati"
"41","Hausa"
"52","Hebrew; Iwrith"
"42","Hindi"
"44","Hungarian; Magyar"
"50","Icelandic; Islenzk"
"49","Indonesian; Bahasa Indonesia"
"46","Interlingua"
"47","Interlingue"
"48","Inupiak"
"36","Irish; Gaeilge"
"51","Italian"
"53","Japanese; Nihongo"
"55","Javanese; Bahasa Jawa"
"60","Kannada"
"62","Kashmiri"
"57","Kazakh"
"96","Kinyarwanda"
"64","Kirghiz; Kyrgyz"
"93","Kirundi"
"61","Korean; Choson-o"
"63","Kurdish; Zimany Kurdy"
"67","Laothian; Pha Xa Lao"
"65","Latin"
"69","Latvian; Lettish"
"66","Lingala"
"68","Lithuanian"
"72","Macedonian"
"70","Malagasy"
"77","Malay; Bahasa Malaysia"
"73","Malayalam"
"78","Maltese"
"71","Maori"
"76","Marathi"
"75","Moldavian"
"74","Mongolian"
"80","Nauru"
"81","Nepali"
"83","Norwegian"
"84","Occitan"
"86","Oriya"
"89","Pashto, Pushto"
"30","Persian; Farsi"
"88","Polish"
"90","Portuguese"
"87","Punjabi; Panjabi"
"91","Quechua"
"92","Rhaeto-Romance"
"94","Romanian"
"95","Russian"
"104","Samoan"
"99","Sangho"
"97","Sanskrit"
"37","Scots Gaelic"
"108","Serbian; Srpski"
"100","Serbo-Croatian"
"110","Sesotho"
"121","Setswana"
"105","Shona"
"98","Sindhi"
"101","Singhalese"
"109","Siswati"
"102","Slovak"
"103","Slovenian"
"106","Somali"
"27","Spanish"
"111","Sundanese"
"113","Swahili"
"112","Swedish; Svenska"
"120","Tagalog"
"116","Tajik"
"114","Tamil"
"125","Tatar"
"115","Telugu"
"117","Thai"
"15","Tibetan; Bodskad"
"118","Tigrinya"
"122","Tonga"
"124","Tsonga"
"123","Turkish"
"119","Turkmen"
"126","Twi"
"127","Ukrainian"
"128","Urdu"
"129","Uzbek"
"130","Vietnamese"
"131","Volapük"
"20","Welsh"
"132","Wolof"
"133","Xhosa"
"54","Yiddish; Jiddisch"
"134","Yoruba"
"136","Zulu"
